user_id,EMIS,School,Sector,supp_learn_envi_score,pos_behav_expec_score,lesson_facilitation_score,cfu_score,feedback_score,ct_score,autonomy_score,perseverance_score,social_score,overall_average_score
4793,918,"IMCG, I-8/4",Urban-II,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.44
1560,754,IMSG(I-V) CHIRAH,Nilore,5.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.22
5068,242,IMS(I-V) No.2 G-8/4,Urban-I,4.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,3.78
4326,208,IMS(I-V) G-6/2 Café Iram,Urban-I,3.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,3.0,3.44
3213,217,IMS(I-V) G-7/4,Urban-I,3.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.78
2996,205,IMS(I-V) G-6/1-4,Urban-I,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.89
3747,555,IMSB (I-V) Humak,Sihala,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.11
4854,464,"IMSG (I-VIII), BHARA KAU",B.K,3.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,4.11
3235,236,IMSG(I-X) E-9,Urban-I,4.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.11
1333,456,IMSG (I-X) NOORPUR SHAHAN,B.K,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.22
3864,234,IMS(I-V) No.1 E-8,Urban-I,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,3.89
1581,704,IMSB(I-X)JAGIOT,Nilore,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.44
1166,906,"IMCB, G-10/4",Urban-II,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.22
799,259,IMS(I-V) No.1 G-9/2,Urban-II,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.33
3115,466,"IMSG (I-VIII), KOT HATHIAL",B.K,5.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.44
3942,212,IMS(I-V) G-6/1-2,Urban-I,5.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0
1304,247,IMS(I-V) No.2 G-8/2,Urban-I,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,3.67
4048,715,"IMCG,PEHOUNT",Nilore,3.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,2.67
109393,714,"IMCG,JAGIOT",Nilore,4.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.33
1744,716,"IMCG,THANDA PANI (FA)",Nilore,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.11
3703,282,IMS(I-V) No.1 I-9/4,Urban-II,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.89
1244,288,IMSG (I-VIII) I-10/4,Urban-II,2.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,3.89
1645,763,IMSG(I-V) ALI PUR SOUTH,Nilore,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.11
107892,742,IMSG(I-V) NO.2 TARLAI,Nilore,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
1721,722,IMSG(I-VIII) KH. DAK,Nilore,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.11
73006,283,IMS(I-V) No.2 I-9/4,Urban-II,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.78
1224,919,"IMCG, F-10/2",Urban-II,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.44
108385,275,IMSG(I-X) G-11/2,Urban-II,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.89
4821,914,"IMCG, F-7/4",Urban-I,5.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,1.0,3.44
103712,628,IMSG (I-VIII) Dhoke Paracha,Tarnol,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.44
2945,408,IMSB (I-X) SHAHDARA,B.K,4.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,2.89
1341,456,IMSG (I-X) NOORPUR SHAHAN,B.K,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.33
4263,540,IMSG (I-V) Sihala Khurd,Sihala,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.44
3913,291,IMS (I-V) I-10/2,Urban-II,5.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,3.33
3901,291,IMS (I-V) I-10/2,Urban-II,3.0,4.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.11
577,653,IMSG (I-V) Sarae Madhu,Tarnol,4.0,4.0,5.0,5.0,2.0,1.0,3.0,3.0,4.0,3.44
4056,227,IMSG (I-X) P.M. Colony G-5,Urban-I,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0
3764,462,IMSG (I-VIII) Mandla (FA) Islamabad,B.K,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,2.67
105633,414,IMSB (I-V) MAIRA BEGWAL (evening),B.K,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.56
4790,918,"IMCG, I-8/4",Urban-II,3.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,3.33
1608,760,IMSG(I-V) PUNJGRAN (760),Nilore,3.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,3.11
4550,754,IMSG(I-V) CHIRAH,Nilore,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.44
4321,208,IMS(I-V) G-6/2 Café Iram,Urban-I,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,3.11
3497,708,"IMCB,JABA TALI",Nilore,3.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.89
3422,642,IMSB (I-V) Pind Parian,Tarnol,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.67
5029,903,"IMCG, F-11/3",Urban-II,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0
3136,206,IMS(I-V) G-6/4,Urban-I,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.56
2911,230,"IMS (I-V), F-7/2-4",Urban-I,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.67
5204,925,IMCB Pakistan Town,Sihala,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.44
3884,234,IMS(I-V) No.1 E-8,Urban-I,5.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,3.78
72932,734,IMSB(I-V)TARLAI,Nilore,4.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,2.67
1179,906,"IMCB, G-10/4",Urban-II,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.89
1169,906,"IMCB, G-10/4",Urban-II,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.11
3430,648,IMSG (I-V) Bheka Syedan,Tarnol,4.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,1.0,3.22
3821,442,"IMCG (I-XII), MARGALLA TOWN,",B.K,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.67
4462,417,"IMSB (I-VIII), KOT HATHIAL (NAI ABADI)",B.K,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,2.78
2288,281,IMSG (I-VIII) I-9/4,Urban-II,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.78
1263,288,IMSG (I-VIII) I-10/4,Urban-II,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.78
4684,478,"IMSG (I-V), MALPUR (F.A)",B.K,4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0
2756,467,"IMSG (I-VIII), SANJALIAN",B.K,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,4.0,3.89
3084,204,IMS (I-V) G-6/1-3,Urban-I,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.33
1999,548,IMSB (I-X) Gagri,Sihala,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.89
3746,266,IMS(I-V) F-10/4,Urban-II,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.33
1868,284,IMSG (I-VIII) I-8/1,Urban-II,5.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.22
3142,206,IMS(I-V) G-6/4,Urban-I,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.11
4229,228,IMS(I-V) F-6/1,Urban-I,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,3.33
1012,277,IMS(I-V) G-11/2,Urban-II,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.33
3825,275,IMSG(I-X) G-11/2,Urban-II,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.89
70315,275,IMSG(I-X) G-11/2,Urban-II,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.56
895,281,IMSG (I-VIII) I-9/4,Urban-II,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4395,447,IMSG (I-X) GOKINA,B.K,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0
3876,234,IMS(I-V) No.1 E-8,Urban-I,4.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,3.67
3638,259,IMS(I-V) No.1 G-9/2,Urban-II,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.78
565,618,IMSG (I-X) BQB,Tarnol,4.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,3.78
560,618,IMSG (I-X) BQB,Tarnol,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,3.78
1545,725,IMSG(I-X) JABA TAILI,Nilore,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,1.0,3.89
697,625,IMSG (I-VIII) Noon,Tarnol,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0
1605,760,IMSG(I-V) PUNJGRAN (760),Nilore,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.78
797,921,IMCG G-13/1,Tarnol,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33
3133,206,IMS(I-V) G-6/4,Urban-I,4.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.22
79603,275,IMSG(I-X) G-11/2,Urban-II,2.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.78
4097,557,IMSB (I-V) Mughal,Sihala,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.56
2190,535,IMSG (I-V) GANGOTA SYEDAN,Sihala,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.22
3856,234,IMS(I-V) No.1 E-8,Urban-I,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.89
108654,637,IMSB (I-V) Shah Allah Ditta,Tarnol,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.11
4733,629,IMSG (I-VIII) Sarae Kharboza (F.A),Tarnol,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.56
585,650,IMSG (I-V) Sheikhpur Noon,Tarnol,4.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.44
2681,450,IMSG (I-X) PHULGRAN,B.K,3.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.22
72901,555,IMSB (I-V) Humak,Sihala,4.0,5.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,3.11
3709,282,IMS(I-V) No.1 I-9/4,Urban-II,3.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,2.89
3889,415,"IMSB (I-VIII), MOHRA NOOR NIH",B.K,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0
2253,559,IMSB (I-V) Darwala,Sihala,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.33
904,902,"IMCB, F-11/1",Urban-II,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.11
3344,760,IMSG(I-V) PUNJGRAN (760),Nilore,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0
72865,411,"IMSB (I-X), SAID PUR",B.K,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.67
1538,762,IMSB(I-V)NILORE,Nilore,4.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,4.0,3.22
1535,762,IMSB(I-V)NILORE,Nilore,4.0,4.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0,3.78
72954,708,"IMCB,JABA TALI",Nilore,4.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.22
3412,636,IMSB (I-V) Noon,Tarnol,3.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.22
4145,448,IMSG (I-X) KURRI,B.K,5.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.33
3606,465,"IMSG (I-VIII), BOBRI",B.K,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.22
1064,285,IMS(I-V) AIOU Colony,Urban-II,5.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.56
1402,268,IMSG(I-X) G-10/3,Urban-II,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.44
107891,550,IMSB (I-X) Banni Saran,Sihala,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.33
4538,295,IMS(I-V) No.2 G-7/2,Urban-I,3.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,3.11
627,422,"IMSB (I-V), CHAHANN MASTAL (F.A) H-11",Tarnol,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.78
4747,259,IMS(I-V) No.1 G-9/2,Urban-II,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.33
2361,442,"IMCG (I-XII), MARGALLA TOWN,",B.K,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.22
2609,439,"IMSB (I-VIII), MALPUR",B.K,4.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,3.44
1368,283,IMS(I-V) No.2 I-9/4,Urban-II,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.67
705,283,IMS(I-V) No.2 I-9/4,Urban-II,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,2.22
2660,524,IMSG (I-VIII) Jandala,Sihala,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
2860,229,IMS(I-V) F-6/3,Urban-I,2.0,3.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0
2781,913,"ICG, F-6/2",Urban-I,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,3.22
1816,741,IMSG(I-V) NO.I TARLAI,Nilore,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.67
572,618,IMSG (I-X) BQB,Tarnol,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.11
3725,912,"IMCG, ST. 25, F-6/2",Urban-I,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.44
3733,912,"IMCG, ST. 25, F-6/2",Urban-I,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.11
3727,912,"IMCG, ST. 25, F-6/2",Urban-I,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.78
1690,727,IMSB(I-V)SHARIFABAD,Nilore,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.89
4573,209,IMSG(I-VIII) G-6/2,Urban-I,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0
3370,603,IMSB (I-X) Naugazi,Tarnol,4.0,3.0,5.0,4.0,2.0,4.0,3.0,2.0,5.0,3.56
1059,255,IMS(I-V) No.2 St 7 G-9/3,Urban-II,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,2.56
1776,747,IMSG (I-V) CHOUNIAL BANGIAL,Nilore,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,3.67
54263,907,"IMCB, G-11/1",Urban-II,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,3.89
4720,217,IMS(I-V) G-7/4,Urban-I,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,2.89
3886,234,IMS(I-V) No.1 E-8,Urban-I,3.0,3.0,5.0,4.0,1.0,4.0,2.0,2.0,1.0,2.78
72871,422,"IMSB (I-V), CHAHANN MASTAL (F.A) H-11",Tarnol,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.33
12645,906,"IMCB, G-10/4",Urban-II,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.56
3633,259,IMS(I-V) No.1 G-9/2,Urban-II,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,1.0,3.89
4131,245,IMS(I-V) No.3 G-8/1,Urban-I,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.33
4773,716,"IMCG,THANDA PANI (FA)",Nilore,5.0,4.0,5.0,4.0,3.0,4.0,1.0,3.0,2.0,3.44
3999,748,IMSG(I-V)HERNO,Nilore,5.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0,3.89
109383,758,IMSG(I-V) CHAKHTAN,Nilore,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.56
5114,909,"IMCB, I-10/1",Urban-II,4.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.78
1562,745,IMSG(I-V)ALI PUR FRASH,Nilore,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,3.22
4974,723,IMSG(I-X) NEW SHAKRIAL,Nilore,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.11
4019,921,IMCG G-13/1,Tarnol,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
2899,216,IMS(I-V) G-7/1,Urban-I,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.89
4097,557,IMSB (I-V) Mughal,Sihala,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.67
